row_id,annotator_a_intent,annotator_b_intent,adjudicated_intent,annotator_a_should_escalate,annotator_b_should_escalate,adjudicated_should_escalate,adjudication_note
gold_001,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_002,refund_request,refund_request,refund_request,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_003,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_004,product_defect,delivery_delay,product_defect,false,false,false,A flagged damaged product; B focused on delivery-tracking. Adjudication kept the product-defect interpretation as primary.
gold_005,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_006,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_007,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_008,uncategorized,product_defect,uncategorized,false,false,false,A kept the message as uncategorized; B interpreted it as a defect complaint. Adjudication retained the uncategorized label because the request is ambiguous.
gold_009,delivery_delay,delivery_delay,delivery_delay,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_010,refund_request,delivery_delay,refund_request,false,false,false,A prioritized the refund ask; B emphasized the late delivery. Adjudication kept the refund_request intent because the customer explicitly asks for a delivery-charge refund.
gold_011,account_access,account_access,account_access,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_012,product_defect,product_defect,product_defect,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_013,fraud_or_safety,fraud_or_safety,fraud_or_safety,true,true,true,No disagreement. Both annotators agree with the final ground truth.
gold_014,general_complaint,general_complaint,general_complaint,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_015,praise_or_other,praise_or_other,praise_or_other,false,false,false,No disagreement. Both annotators agree with the final ground truth.
gold_016,uncategorized,uncategorized,uncategorized,false,false,false,No disagreement. Both annotators agree with the final ground truth.
