row_id,thread_id,message,true_intent,should_escalate,labeler,label_notes
gold_001,628,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,delivery_delay,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_002,621,@115823 I want my amazon payments account CLOSED. dm me please.,refund_request,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_003,1701,@AmazonHelp You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,account_access,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_004,652,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,delivery_delay,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_005,10645,@AmazonHelp did amazon get hacked?,fraud_or_safety,true,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_006,1722,"@116090 Saying I preordered to early, terrible customer service. Won’t renew prime if this isn’t fixed.",general_complaint,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_007,636,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",praise_or_other,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_008,271,@AmazonHelp 電話で対応してもらいましたが改良されませんでした。 保証期間も過ぎてるので買い直しになるんでしょうね。,product_defect,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_009,632,@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!! https://t.co/f6SaVBSMqM,delivery_delay,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_010,664,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",delivery_delay,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_011,1706,"@AmazonHelp I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months.",account_access,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_012,659,"@115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q",product_defect,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_013,12527,"@AmazonHelp I have replied to it many and still have not received any response, sending you a legal notification for closing this fraud business",fraud_or_safety,true,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_014,9959,@116935 worst customer service; got hung up on twice,general_complaint,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_015,1717,"@AmazonHelp My package just got here. All good, thank you!",praise_or_other,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_016,274,@AmazonHelp こちらこそありがとうございました。,uncategorized,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_017,634,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,delivery_delay,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_018,1698,@AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,refund_request,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_019,3729,@AmazonHelp i reset my password 3 times and it still says incorrect you gotta be shitting me,account_access,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_020,5119,#Amazon who packages these games. Ordered to games and both came rattling inside their cases. One is broken. Games may have suffered scratches. @115821 https://t.co/KqpOkpLeP8,product_defect,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_021,13903,I lose faith in humanity on days like this. My friend sends me a 🎁 from @115821 after a crappy week and I come home and it’s been stolen.,general_complaint,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_022,11085,@115821 @AmazonHelp I'm so frustrated w/how things keep changing. Making it hard on POOR people!!! Free isn't free anymore.,general_complaint,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_023,1726,@AmazonHelp Star Wars Battlefront 2 Elite Trooper Deluxe Edition Playstation 4 https://t.co/6K7WdDcY2P preorder info is in description. Thanks for help,praise_or_other,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_024,272,amazonのfireTVstickが見れない😢,product_defect,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_025,646,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,delivery_delay,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_026,1699,@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,refund_request,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_027,3732,@AmazonHelp I can’t log in because it’s locked.,account_access,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_028,9781,"I seem to have bad luck in trying to get undamaged books from @115821. Sometimes it's damaged in delivery, but this one was packed this way. https://t.co/HnwtSE7e31",product_defect,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_029,14014,"@AmazonHelp Who's security? UR asking 4 MY personal details. Surely U have company phone #s that aren't ""personal."" This is absurd. I'm TRYING 2 work w/U people. Y do U make it so hard? May I be referred to a mgr who isn't afraid 2 speak w/an intelligent, reasonable woman 2 work out sols",fraud_or_safety,true,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_030,13154,@AmazonHelp May i just add that realising NO ACTION HAS BEEN TAKEN on my complaint is not much fun. Worst customer care EVER ! https://t.co/bHOHPNnZFA,general_complaint,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_031,2549,"@AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks",praise_or_other,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
gold_032,325,amazonプライムビデオ、再生エラーが多いです,uncategorized,false,annotator_b,Primary requested outcome; A/B review note recorded in adjudication log.
